transaction_id,timestamp,user_id,session_id,amount_eur,product_category,payment_method,country_code,device_type,ip_address,nb_items,is_new_account,account_age_days,delivery_country,billing_country,is_fraud
TXN-00015,2026-03-06 14:49:30,USR-0599,SESS-52670,15.64,Livres,carte_bancaire,FR,mobile,168.97.155.187,4,False,112,FR,FR,False
TXN-00016,2026-04-15 07:50:24,USR-0116,SESS-39383,323.71,Electronique,paypal,DE,mobile,15.106.249.182,1,False,576,DE,DE,False
TXN-00017,2026-03-24 11:48:02,USR-0154,SESS-83641,56.14,Beaute,paypal,FR,desktop,28.62.242.167,1,False,525,FR,FR,False
TXN-00018,2026-05-02 13:11:36,USR-0001,SESS-74920,37.18,Sport,paypal,FR,desktop,28.66.98.211,2,False,1983,FR,FR,False
TXN-00019,2026-04-01 17:28:16,USR-0006,SESS-23211,38.06,Sport,paypal,FR,desktop,33.104.231.203,9,False,219,FR,FR,False
TXN-00020,2026-05-10 21:34:20,USR-0110,SESS-72501,37.69,Electronique,virement,FR,desktop,183.240.69.226,1,False,756,FR,FR,False
TXN-00021,2026-04-16 08:21:13,USR-0086,SESS-95821,112.69,Voyages,paypal,FR,mobile,70.184.176.166,1,False,1342,CH,FR,False
TXN-00022,2026-05-23 08:48:05,USR-0377,SESS-92290,59.45,Maison,carte_bancaire,NL,tablet,30.119.3.125,3,False,1004,NL,NL,False
TXN-00023,2026-04-27 06:12:03,USR-0254,SESS-18548,50.65,Electronique,paypal,DE,desktop,92.151.164.51,2,False,93,DE,DE,False
TXN-00024,2026-03-14 00:28:24,USR-0373,SESS-77978,1793.11,Electronique,crypto,DE,mobile,178.175.149.249,7,True,2,RO,DE,True
TXN-00025,2026-05-14 09:27:29,USR-0241,SESS-41896,40.73,Jeux_video,carte_bancaire,GB,desktop,104.173.28.35,1,False,234,GB,GB,False
TXN-00026,2026-03-04 01:18:41,USR-0009,SESS-25509,25.82,Bijoux,carte_bancaire,DE,desktop,151.126.167.105,3,False,278,DE,DE,False
TXN-00027,2026-04-16 15:10:02,USR-0441,SESS-81188,191.31,Bijoux,carte_bancaire,BE,mobile,41.108.66.190,4,False,1292,BE,BE,False
TXN-00028,2026-03-25 04:27:38,USR-0566,SESS-41613,20.64,Sport,carte_bancaire,DE,desktop,135.54.186.132,1,False,613,DE,DE,False
TXN-00029,2026-05-11 07:39:25,USR-0052,SESS-62199,56.45,Beaute,virement,US,desktop,67.44.127.90,2,False,1888,US,US,False
TXN-00030,2026-03-12 19:36:54,USR-0008,SESS-21874,21.78,Voyages,carte_bancaire,CH,mobile,38.193.241.246,2,False,514,CH,CH,False
TXN-00031,2026-05-21 07:50:18,USR-0067,SESS-20330,30.85,Maison,carte_prepayee,GB,mobile,23.67.45.48,4,False,193,GB,GB,False
TXN-00032,2026-05-21 22:13:02,USR-0491,SESS-27780,62.06,Maison,carte_bancaire,CH,desktop,78.50.133.194,2,False,1839,CH,CH,False
TXN-00033,2026-05-05 11:44:23,USR-0592,SESS-30381,44.4,Electronique,carte_bancaire,ES,mobile,48.250.39.147,1,False,819,ES,ES,False
TXN-00034,2026-05-13 20:41:28,USR-0130,SESS-30107,136.84,Bijoux,carte_bancaire,FR,mobile,164.180.73.56,2,False,1358,FR,FR,False
TXN-00035,2026-03-27 21:17:03,USR-0033,SESS-92845,217.64,Jeux_video,paypal,FR,,52.62.204.56,1,False,1209,FR,FR,False
TXN-00036,2026-04-07 02:33:44,USR-0193,SESS-80537,62.24,Maison,virement,ES,,10.29.98.69,4,False,519,ES,ES,False
TXN-00037,2026-03-13 09:11:12,USR-0085,SESS-49990,47.5,Alimentation,paypal,FR,mobile,88.116.149.87,2,False,1246,FR,FR,False
TXN-00038,2026-04-26 03:55:56,USR-0368,SESS-94456,34.36,Beaute,carte_bancaire,FR,mobile,125.127.87.67,2,False,52,FR,FR,False
TXN-00039,2026-05-03 07:09:33,USR-0552,SESS-61143,17.02,Bijoux,carte_bancaire,BE,desktop,145.25.111.71,3,False,603,BE,BE,False
TXN-00040,2026-05-06 01:29:49,USR-0333,SESS-17210,7.81,,carte_bancaire,FR,mobile,85.63.77.194,7,False,708,FR,FR,False
TXN-00041,2026-03-12 01:28:18,USR-0406,SESS-53349,70.85,Beaute,paypal,IT,desktop,72.250.113.114,1,False,1828,IT,IT,False
TXN-00042,2026-03-18 11:10:39,USR-0202,SESS-91428,28.85,Sport,carte_bancaire,DE,desktop,199.120.245.119,3,False,386,DE,DE,False
TXN-00043,2026-05-19 06:23:44,USR-0177,SESS-61569,95.46,Mode,paypal,FR,mobile,49.116.57.97,3,False,592,FR,FR,False
TXN-00044,2026-04-26 22:32:20,USR-0557,SESS-64826,38.23,Mode,carte_bancaire,FR,mobile,26.142.203.131,1,False,313,FR,FR,False
TXN-00045,2026-03-13 04:16:05,USR-0337,SESS-49144,28.88,Beaute,paypal,IT,mobile,192.14.221.240,3,False,68,IT,IT,False
TXN-00046,2026-04-18 17:05:52,USR-0041,SESS-79108,94.68,Jeux_video,virement,ES,desktop,197.153.39.166,2,False,1736,ES,ES,False
TXN-00047,2026-05-02 08:01:02,USR-0077,SESS-99615,25.95,Maison,paypal,FR,desktop,43.239.213.1,1,False,1574,FR,FR,False
TXN-00048,2026-04-30 13:18:04,USR-0430,SESS-87265,42.7,Alimentation,carte_bancaire,IT,desktop,29.101.53.145,3,False,1241,IT,IT,False
TXN-00049,2026-04-28 02:08:50,USR-0389,SESS-34767,1346.64,Electronique,crypto,FR,mobile,178.175.96.238,3,True,0,BY,FR,True
TXN-00050,2026-05-20 11:11:44,USR-0402,SESS-16073,12.99,Mode,crypto,IT,mobile,84.144.206.197,5,False,451,IT,IT,False
TXN-00051,2026-03-18 09:31:57,USR-0245,SESS-74245,9.58,Alimentation,paypal,FR,mobile,15.3.191.226,5,False,97,FR,FR,False
TXN-00052,2026-03-16 10:37:14,USR-0508,SESS-37113,367.39,Jeux_video,carte_bancaire,FR,mobile,71.173.220.90,2,False,360,FR,FR,False
TXN-00053,2026-04-09 03:29:16,USR-0208,SESS-25879,97.35,Maison,carte_prepayee,IT,mobile,193.136.11.6,4,False,668,IT,IT,False
TXN-00054,2026-05-02 21:48:40,USR-0547,SESS-12304,54.81,Maison,carte_bancaire,US,desktop,199.119.206.85,4,False,692,US,US,False
TXN-00055,2026-03-19 02:28:15,USR-0315,SESS-21185,134.57,Mode,paypal,ES,tablet,127.165.91.188,3,False,1667,ES,ES,False
TXN-00056,2026-04-22 16:13:20,USR-0505,SESS-82404,25.24,Sport,carte_bancaire,FR,mobile,137.24.118.156,1,False,1069,FR,FR,False
TXN-00057,2026-03-21 15:22:09,USR-0017,SESS-36002,45.28,Electronique,paypal,CH,desktop,147.186.254.96,1,False,97,CH,CH,False
TXN-00058,2026-03-29 03:35:55,USR-0155,SESS-44218,58.92,Voyages,carte_bancaire,FR,mobile,20.172.190.152,1,False,1321,FR,FR,False
TXN-00059,2026-05-09 15:02:24,USR-0142,SESS-14745,31.94,,carte_bancaire,FR,mobile,25.65.110.226,1,False,1565,FR,FR,False
TXN-00060,2026-04-13 16:41:47,USR-0005,SESS-76788,41.01,Electronique,paypal,ES,tablet,174.49.29.149,2,False,1374,UA,ES,False
TXN-00061,2026-05-02 22:34:53,USR-0083,SESS-71095,57.45,Electronique,carte_bancaire,ES,tablet,53.150.33.111,7,False,236,ES,ES,False
TXN-00062,2026-04-18 08:27:37,USR-0377,SESS-17808,32.0,Voyages,carte_bancaire,DE,desktop,152.18.71.203,1,False,1645,DE,DE,False
TXN-00063,2026-05-02 02:00:40,USR-0342,SESS-63217,43.78,Bijoux,carte_bancaire,DE,mobile,178.9.77.39,4,False,821,AT,DE,False
TXN-00064,2026-03-13 17:58:17,USR-0155,SESS-71324,33.41,Beaute,carte_bancaire,FR,desktop,159.6.130.151,5,False,595,FR,FR,False
TXN-00065,2026-04-26 16:52:09,USR-0129,SESS-88749,8.65,Jeux_video,carte_bancaire,FR,tablet,195.139.84.222,1,False,1563,FR,FR,False
TXN-00066,2026-05-09 04:23:04,USR-0567,SESS-26179,27.77,Maison,paypal,IT,mobile,125.87.35.118,1,False,846,IT,IT,False
TXN-00067,2026-03-07 21:10:35,USR-0033,SESS-94606,160.55,Alimentation,carte_bancaire,GB,mobile,143.220.219.115,5,False,1437,GB,GB,False
TXN-00068,2026-05-21 15:13:52,USR-0574,SESS-84568,60.74,Sport,carte_bancaire,ES,desktop,44.26.26.31,8,False,1298,ES,ES,False
TXN-00069,2026-04-06 03:53:15,USR-0170,SESS-71397,31.78,Jeux_video,carte_prepayee,ES,mobile,61.101.236.40,3,False,1695,ES,ES,False
TXN-00070,2026-05-02 02:09:12,USR-0518,SESS-78681,31.73,Electronique,carte_bancaire,FR,mobile,132.58.57.11,4,False,353,FR,FR,False
TXN-00071,2026-03-24 18:58:02,USR-0279,SESS-22491,63.24,Maison,carte_bancaire,FR,mobile,193.245.128.66,3,False,139,FR,FR,False
TXN-00072,2026-03-11 20:51:05,USR-0549,SESS-93219,122.39,Maison,carte_bancaire,GB,mobile,145.245.27.252,3,False,780,IE,GB,False
TXN-00073,2026-03-04 04:47:33,USR-0422,SESS-42169,33.13,Electronique,paypal,PT,desktop,201.181.55.238,1,False,1556,PT,PT,False
TXN-00074,2026-04-09 21:43:29,USR-0123,SESS-86703,24.6,Beaute,crypto,FR,desktop,165.70.118.44,3,False,983,FR,FR,False
TXN-00075,2026-05-05 07:08:02,USR-0353,SESS-43908,133.71,Mode,paypal,DE,desktop,136.206.236.122,3,False,1003,DE,DE,False
TXN-00076,2026-04-25 11:15:59,USR-0537,SESS-43338,13.53,Livres,carte_prepayee,FR,desktop,93.128.211.155,1,False,1101,FR,FR,False
TXN-00077,2026-03-19 04:35:11,USR-0469,SESS-91513,118.94,Livres,paypal,FR,desktop,101.241.4.235,1,False,1646,FR,FR,False
TXN-00078,2026-03-12 23:43:23,USR-0212,SESS-73488,31.29,Sport,carte_bancaire,FR,desktop,180.37.18.247,1,False,169,FR,FR,False
TXN-00079,2026-04-21 13:14:48,USR-0416,SESS-12067,112.72,Maison,paypal,IT,mobile,201.127.207.198,1,False,407,IT,IT,False
TXN-00080,2026-04-08 17:43:30,USR-0032,SESS-23850,49.74,Livres,crypto,FR,desktop,32.32.85.105,4,False,1942,FR,FR,False
TXN-00081,2026-05-13 12:07:35,USR-0197,SESS-16078,95.1,Maison,carte_bancaire,ES,mobile,20.102.196.119,6,False,704,ES,ES,False
TXN-00082,2026-05-20 13:34:52,USR-0086,SESS-36406,22.51,Alimentation,carte_bancaire,FR,mobile,144.222.249.74,9,False,546,FR,FR,False
TXN-00083,2026-03-04 12:19:27,USR-0166,SESS-29502,129.89,Maison,paypal,FR,mobile,169.47.236.52,3,False,585,FR,FR,False
TXN-00084,2026-05-24 19:10:16,USR-0140,SESS-53514,43.93,Bijoux,virement,FR,mobile,160.222.146.119,1,False,1918,FR,FR,False
TXN-00085,2026-04-24 08:32:04,USR-0331,SESS-54030,11.12,Beaute,crypto,BE,mobile,144.78.165.45,4,False,1887,BE,BE,False
TXN-00086,2026-04-15 08:50:35,USR-0136,SESS-35651,22.05,Alimentation,carte_bancaire,FR,mobile,54.248.143.30,1,False,688,FR,FR,False
TXN-00087,2026-03-03 19:57:51,USR-0302,SESS-93495,127.29,Beaute,carte_bancaire,FR,desktop,81.19.217.217,6,False,743,FR,FR,False
TXN-00088,2026-04-08 16:39:35,USR-0144,SESS-76430,22.86,Bijoux,virement,FR,tablet,93.129.40.75,1,False,1807,FR,FR,False
TXN-00089,2026-03-26 07:00:50,USR-0001,SESS-96172,53.09,Maison,virement,NL,mobile,85.214.5.117,2,False,482,NL,NL,False
TXN-00090,2026-03-02 06:07:11,USR-0123,SESS-77151,89.05,Electronique,carte_bancaire,FR,mobile,68.43.188.175,3,False,1965,FR,FR,False
TXN-00091,2026-03-17 18:05:59,USR-0245,SESS-61247,15.35,Livres,carte_bancaire,NL,mobile,133.7.82.216,3,False,1412,NL,NL,False
TXN-00092,2026-04-06 16:45:19,USR-0358,SESS-87206,19.11,Bijoux,carte_bancaire,FR,desktop,93.87.229.35,4,False,1211,FR,FR,False
TXN-00093,2026-04-09 01:10:48,USR-0239,SESS-35093,48.36,Electronique,paypal,DE,desktop,91.138.16.18,1,False,1725,DE,DE,False
TXN-00094,2026-03-16 15:25:33,USR-0479,SESS-89781,65.39,Bijoux,carte_bancaire,FR,mobile,135.130.174.17,1,False,1193,FR,FR,False
TXN-00095,2026-04-15 02:48:55,USR-0480,SESS-61492,38.12,Livres,carte_bancaire,GB,desktop,126.96.173.15,1,False,1460,GB,GB,False
TXN-00096,2026-04-18 03:20:39,USR-0353,SESS-78523,122.0,Beaute,paypal,DE,desktop,18.221.159.176,3,False,1408,DE,DE,False
TXN-00097,2026-05-08 03:01:09,USR-0194,SESS-85841,272.04,Electronique,carte_prepayee,FR,mobile,45.142.127.221,1,True,2,UA,FR,True
TXN-00098,2026-03-06 23:40:55,USR-0200,SESS-24977,18.76,Sport,crypto,FR,desktop,85.47.58.182,9,False,1037,FR,FR,False
TXN-00099,2026-05-04 16:08:50,USR-0438,SESS-93472,69.94,Bijoux,carte_prepayee,FR,tablet,179.100.146.136,1,False,250,FR,FR,False
TXN-00100,2026-03-31 17:15:41,USR-0589,SESS-83477,198.96,Mode,carte_bancaire,FR,mobile,48.123.54.68,2,False,1480,FR,FR,False
TXN-00101,2026-05-11 16:44:55,USR-0223,SESS-80315,16.46,Voyages,paypal,FR,mobile,96.129.63.162,2,False,1940,FR,FR,False
TXN-00102,2026-04-19 17:36:17,USR-0210,SESS-91624,30.42,Bijoux,paypal,BE,tablet,135.221.5.134,5,False,1352,BE,BE,False
TXN-00103,2026-05-07 10:48:24,USR-0180,SESS-16136,66.14,Voyages,carte_bancaire,FR,mobile,120.59.156.26,1,False,1979,FR,FR,False
TXN-00104,2026-05-01 17:29:12,USR-0027,SESS-33400,32.66,Voyages,carte_bancaire,FR,mobile,183.204.226.169,6,False,375,FR,FR,False
TXN-00105,2026-05-01 05:30:10,USR-0315,SESS-75611,59.3,Voyages,carte_bancaire,ES,mobile,155.22.25.167,3,False,1840,ES,ES,False
TXN-00106,2026-04-12 08:29:32,USR-0337,SESS-61361,23.59,Electronique,carte_bancaire,DE,mobile,80.174.84.18,1,False,1295,AT,DE,False
TXN-00107,2026-03-06 18:19:45,USR-0452,SESS-54525,44.85,Beaute,virement,FR,mobile,49.119.98.76,4,False,1633,FR,FR,False
TXN-00108,2026-03-24 05:56:15,USR-0486,SESS-38775,33.05,Voyages,carte_bancaire,FR,tablet,153.52.184.194,1,False,1969,FR,FR,False
TXN-00109,2026-03-02 17:35:36,USR-0237,SESS-34544,11.91,Bijoux,carte_bancaire,FR,mobile,10.129.48.253,3,False,374,FR,FR,False
TXN-00110,2026-05-06 21:02:11,USR-0582,SESS-92344,103.23,Livres,carte_bancaire,FR,mobile,58.43.102.251,1,False,735,MD,FR,False
TXN-00111,2026-03-03 05:45:57,USR-0098,SESS-85120,151.81,Mode,carte_bancaire,FR,tablet,141.168.74.3,2,False,905,FR,FR,False
TXN-00112,2026-04-13 13:16:21,USR-0229,SESS-98774,5.0,Jeux_video,carte_bancaire,NL,desktop,80.9.211.95,2,False,1855,NL,NL,False
TXN-00113,2026-04-25 21:45:05,USR-0170,SESS-34928,63.52,Electronique,carte_bancaire,FR,mobile,148.93.43.111,5,False,1059,FR,FR,False
TXN-00114,2026-03-07 20:52:44,USR-0025,SESS-95070,48.87,Maison,paypal,FR,mobile,82.84.10.34,4,False,785,FR,FR,False
TXN-00115,2026-03-15 16:39:54,USR-0546,SESS-54685,86140.96,Livres,crypto,FR,mobile,114.115.132.146,3,False,133,FR,FR,False
TXN-00116,2026-03-06 14:10:56,USR-0325,SESS-91791,83.73,Jeux_video,carte_bancaire,PT,desktop,89.237.223.203,5,False,32,PT,PT,False
TXN-00117,2026-04-11 13:01:02,USR-0159,SESS-33337,20.9,Voyages,paypal,FR,desktop,85.85.132.18,2,False,1807,FR,FR,False
TXN-00118,2026-05-10 10:19:24,USR-0390,SESS-72990,64.08,Livres,paypal,ES,mobile,170.43.131.109,5,False,1661,ES,ES,False
TXN-00119,2026-05-12 10:11:56,USR-0371,SESS-51954,30.98,Alimentation,carte_bancaire,IT,mobile,174.140.182.51,1,False,1463,IT,IT,False
TXN-00120,2026-03-16 05:08:26,USR-0324,SESS-41133,16.3,Bijoux,carte_prepayee,FR,mobile,193.90.96.137,1,False,297,FR,FR,False
TXN-00121,2026-05-24 22:35:20,USR-0384,SESS-73533,7.06,Electronique,paypal,IT,desktop,30.81.212.220,5,False,775,IT,IT,False
TXN-00122,2026-05-17 11:33:07,USR-0064,SESS-95937,26.18,Bijoux,carte_bancaire,FR,mobile,194.125.237.171,2,False,1602,FR,FR,False
TXN-00123,2026-04-21 03:24:18,USR-0582,SESS-50157,23.57,Mode,carte_bancaire,ES,desktop,102.194.131.233,1,False,1466,ES,ES,False
TXN-00124,2026-04-14 05:31:19,USR-0371,SESS-75069,87.3,Electronique,paypal,FR,desktop,51.33.35.150,3,False,1146,FR,FR,False
TXN-00125,2026-05-19 11:59:21,USR-0074,SESS-52576,262.51,Voyages,carte_bancaire,FR,tablet,132.190.101.86,3,False,1432,FR,FR,False
TXN-00126,2026-04-27 17:00:23,USR-0584,SESS-38128,24.45,Jeux_video,carte_bancaire,ES,mobile,128.246.230.219,3,False,953,ES,ES,False
TXN-00127,2026-05-09 06:01:07,USR-0003,SESS-87587,56.53,Jeux_video,carte_bancaire,IT,mobile,169.147.22.175,1,False,1725,IT,IT,False
TXN-00128,2026-03-15 01:41:48,USR-0119,SESS-82813,143.52,Electronique,carte_bancaire,ES,mobile,199.60.202.227,1,False,1972,ES,ES,False
TXN-00129,2026-03-05 05:17:31,USR-0466,SESS-24517,65.01,Beaute,carte_bancaire,DE,desktop,179.78.243.179,2,False,997,NL,DE,False
TXN-00130,2026-03-16 08:56:53,USR-0591,SESS-48518,9.32,Electronique,carte_prepayee,FR,desktop,57.125.21.129,6,False,275,FR,FR,False
TXN-00131,2026-04-10 10:37:06,USR-0123,SESS-58119,87.02,Electronique,paypal,PT,mobile,140.230.1.28,5,False,568,PT,PT,False
TXN-00132,2026-04-29 13:20:24,USR-0036,SESS-83844,146.38,Sport,paypal,ES,mobile,101.62.25.49,1,False,1574,ES,ES,False
TXN-00133,2026-04-23 11:25:06,USR-0050,SESS-58971,32.13,Alimentation,carte_bancaire,DE,desktop,37.7.48.239,4,False,265,DE,DE,False
TXN-00134,2026-05-18 08:00:54,USR-0565,SESS-33072,52.02,Sport,carte_bancaire,FR,mobile,98.63.45.75,7,False,851,FR,FR,False
TXN-00135,2026-03-17 19:55:18,USR-0326,SESS-19116,11.7,Bijoux,carte_bancaire,FR,mobile,169.35.107.186,2,False,1831,FR,FR,False
TXN-00136,2026-03-24 23:12:12,USR-0058,SESS-84996,146.92,Beaute,carte_bancaire,FR,mobile,57.53.67.38,4,False,390,FR,FR,False
TXN-00137,2026-05-21 20:41:00,USR-0336,SESS-13288,35.25,Beaute,virement,IT,mobile,164.41.123.149,1,False,1368,CH,IT,False
TXN-00138,2026-03-02 17:58:48,USR-0297,SESS-22513,29.65,Bijoux,paypal,GB,mobile,116.28.80.73,8,False,776,GB,GB,False
TXN-00139,2026-05-23 10:27:02,USR-0021,SESS-94820,22.01,Beaute,paypal,FR,desktop,37.25.143.139,2,False,739,FR,FR,False
TXN-00140,2026-03-21 17:01:02,USR-0557,SESS-53863,12.9,Mode,carte_bancaire,FR,mobile,152.37.142.235,1,False,1162,FR,FR,False
TXN-00141,2026-04-20 18:43:56,USR-0380,SESS-92042,92.04,Voyages,carte_bancaire,GB,desktop,144.132.246.55,4,False,1166,GB,GB,False
TXN-00142,2026-04-25 06:10:32,USR-0438,SESS-55228,53.66,Voyages,carte_prepayee,FR,mobile,56.85.45.106,1,False,1045,FR,FR,False
TXN-00143,2026-05-08 10:16:05,USR-0426,SESS-20054,70.09,Alimentation,carte_bancaire,DE,desktop,110.97.178.218,2,False,561,DE,DE,False
TXN-00144,2026-05-06 13:53:26,USR-0398,SESS-72964,9.02,Livres,virement,DE,mobile,96.96.238.127,3,False,751,DE,DE,False
TXN-00145,2026-04-04 05:42:04,USR-0294,SESS-81954,193.76,Bijoux,carte_bancaire,FR,mobile,90.74.120.130,2,False,430,FR,FR,False
TXN-00146,2026-04-15 17:02:07,USR-0419,SESS-55134,30.24,Mode,carte_bancaire,ES,mobile,106.108.17.112,1,False,289,ES,ES,False
TXN-00147,2026-04-10 12:33:15,USR-0379,SESS-85695,107.3,Voyages,carte_bancaire,IT,desktop,88.241.63.179,2,False,1035,IT,IT,False
TXN-00148,2026-05-19 20:18:32,USR-0036,SESS-69123,75.65,Beaute,carte_bancaire,DE,mobile,88.190.24.19,1,False,1648,DE,DE,False
TXN-00149,2026-05-22 10:48:17,USR-0552,SESS-55163,8.58,Alimentation,carte_prepayee,FR,mobile,,3,False,1335,FR,FR,False
TXN-00150,2026-03-26 15:30:31,USR-0313,SESS-83787,21.25,Livres,virement,FR,mobile,97.0.71.109,3,False,781,FR,FR,False
TXN-00151,2026-04-15 05:24:25,USR-0509,SESS-67820,1711.0,Bijoux,crypto,FR,mobile,178.175.75.39,1,True,1,MD,FR,True
TXN-00152,2026-05-20 02:18:52,USR-0187,SESS-99125,360.77,Bijoux,paypal,GB,mobile,40.196.93.201,1,False,1384,GB,GB,False
TXN-00153,2026-04-18 17:01:26,USR-0573,SESS-26601,28.12,,paypal,DE,tablet,169.17.95.220,1,False,1518,DE,DE,False
TXN-00154,2026-03-01 01:39:22,USR-0494,SESS-27636,118.4,Voyages,paypal,FR,tablet,78.240.228.79,1,False,1889,FR,FR,False
TXN-00155,2026-05-24 00:22:06,USR-0330,SESS-16567,129.35,,carte_bancaire,FR,mobile,19.200.209.244,2,False,1487,FR,FR,False
TXN-00156,2026-04-15 03:12:17,USR-0015,SESS-98343,12.52,Beaute,paypal,DE,desktop,178.125.157.183,3,False,1810,DE,DE,False
TXN-00157,2026-03-12 15:12:09,USR-0485,SESS-31192,84.62,Sport,paypal,DE,desktop,26.155.207.183,1,False,1048,DE,DE,False
TXN-00158,2026-03-30 19:17:09,USR-0042,SESS-73480,98.12,Jeux_video,carte_bancaire,DE,desktop,53.138.210.120,6,False,1197,DE,DE,False
TXN-00159,2026-03-19 09:48:48,USR-0242,SESS-58067,53.87,Livres,carte_bancaire,CH,desktop,86.94.239.3,1,False,1154,CH,CH,False
TXN-00160,2026-04-18 16:32:26,USR-0376,SESS-61571,166.83,Voyages,carte_bancaire,IT,desktop,96.118.98.164,2,False,1508,IT,IT,False
TXN-00161,2026-03-09 20:30:58,USR-0255,SESS-74881,157.91,Alimentation,carte_bancaire,GB,desktop,192.109.197.35,4,False,1216,GB,GB,False
TXN-00162,2026-05-11 12:02:17,USR-0425,SESS-76168,15.54,Livres,crypto,CH,mobile,49.39.218.19,2,False,312,CH,CH,False
TXN-00163,2026-04-30 05:26:00,USR-0570,SESS-94382,173.74,Livres,carte_bancaire,DE,mobile,182.137.186.156,1,False,1147,DE,DE,False
TXN-00164,2026-05-20 09:10:24,USR-0588,SESS-52031,20.91,Jeux_video,paypal,DE,desktop,177.181.129.250,5,False,194,DE,DE,False
TXN-00165,2026-05-21 16:43:08,USR-0549,SESS-89417,7.77,Sport,carte_bancaire,FR,mobile,18.96.120.157,1,False,1117,FR,FR,False
TXN-00166,2026-05-24 19:37:23,USR-0300,SESS-30375,115.95,Bijoux,carte_bancaire,FR,mobile,92.57.59.40,3,False,1412,FR,FR,False
TXN-00167,2026-05-13 12:47:21,USR-0246,SESS-91729,133.66,Jeux_video,carte_bancaire,FR,mobile,85.9.13.251,2,False,305,FR,FR,False
TXN-00168,2026-05-13 18:07:43,USR-0393,SESS-56298,20.45,,virement,FR,mobile,173.175.215.211,2,False,1387,FR,FR,False
TXN-00169,2026-04-21 16:49:36,USR-0191,SESS-70810,66.43,Bijoux,paypal,FR,desktop,,4,False,1610,FR,FR,False
TXN-00170,2026-03-08 05:41:50,USR-0092,SESS-87991,1608.75,Electronique,crypto,ES,tablet,185.220.3.56,5,True,5,MD,ES,True
TXN-00171,2026-05-05 00:19:30,USR-0222,SESS-32829,72.12,Maison,carte_prepayee,ES,mobile,108.114.179.137,6,False,1458,ES,ES,False
TXN-00172,2026-04-30 06:59:12,USR-0464,SESS-76151,123.48,Sport,carte_bancaire,FR,desktop,61.237.33.172,1,False,1102,FR,FR,False
TXN-00173,2026-05-05 17:35:22,USR-0586,SESS-42976,12.84,Beaute,carte_bancaire,ES,desktop,41.113.177.104,1,False,921,ES,ES,False
TXN-00174,2026-03-13 06:12:49,USR-0277,SESS-94556,46.64,Jeux_video,carte_bancaire,GB,mobile,75.208.130.8,1,False,1516,IE,GB,False
TXN-00175,2026-04-09 01:13:46,USR-0335,SESS-93589,43.36,Alimentation,carte_bancaire,FR,desktop,89.51.2.33,4,False,1943,FR,FR,False
TXN-00176,2026-03-07 03:29:36,USR-0464,SESS-56365,31.94,Beaute,paypal,FR,desktop,165.162.171.170,2,False,1651,FR,FR,False
TXN-00177,2026-04-26 13:59:41,USR-0133,SESS-73991,19.82,Alimentation,carte_bancaire,FR,mobile,134.61.44.125,1,False,1591,FR,FR,False
TXN-00178,2026-03-24 16:33:51,USR-0035,SESS-38593,25.67,Mode,virement,FR,mobile,,4,False,469,FR,FR,False
